timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769249399.4552221,MEDIUM,,,,2,6
1769249400.4750903,MEDIUM,,,,2,6
1769249401.4763756,MEDIUM,,,,2,6
1769249402.4952497,MEDIUM,,,,2,6
1769249403.4960608,MEDIUM,,,,2,6
1769249404.4995232,MEDIUM,,,,2,6
1769249405.503806,MEDIUM,,,,2,6
1769249406.5072243,MEDIUM,,,,2,6
1769249407.5087152,MEDIUM,,,,2,6
1769249408.5314276,MEDIUM,,,,2,6
1769249409.5567086,MEDIUM,,,,2,6
1769249410.5610516,MEDIUM,,,,2,6
1769249411.5666971,MEDIUM,,,,2,6
1769249412.5896895,MEDIUM,,,,2,6
1769249413.5975175,MEDIUM,,,,2,6
1769249414.6224494,MEDIUM,,,,2,6
1769249415.624481,MEDIUM,,,,2,6
1769249416.6295934,MEDIUM,,,,2,6
1769249417.6322024,MEDIUM,,,,2,6
1769249418.6358197,MEDIUM,,,,2,6
1769249419.6400342,MEDIUM,,,,2,6
1769249420.6462924,MEDIUM,,,,2,6
1769249421.6720028,MEDIUM,,,,2,6
1769249422.6747687,MEDIUM,,,,2,6
1769249423.6845028,MEDIUM,,,,2,6
1769249424.704444,MEDIUM,,,,2,6
1769249425.7046046,MEDIUM,,,,2,6
1769249426.7285867,MEDIUM,,,,2,6
1769249427.730452,MEDIUM,,,,2,6
1769249428.7341878,MEDIUM,,,,2,6
1769249429.7584627,MEDIUM,,,,2,6
1769249430.7637372,MEDIUM,,,,2,6
1769249431.7637782,MEDIUM,,,,2,6
1769249432.7886093,MEDIUM,,,,2,6
1769249433.811012,MEDIUM,,,,2,6
1769249434.811969,MEDIUM,,,,2,6
1769249435.818023,MEDIUM,,,,2,6
1769249436.838979,MEDIUM,,,,2,6
1769249437.8448863,MEDIUM,,,,2,6
1769249438.8481376,MEDIUM,,,,2,6
1769249439.853221,MEDIUM,,,,2,6
1769249440.8753276,MEDIUM,,,,2,6
1769249441.8810332,MEDIUM,,,,2,6
1769249442.8855243,MEDIUM,,,,2,6
1769249443.8894694,MEDIUM,,,,2,6
1769249444.8895679,MEDIUM,,,,2,6
1769249445.915735,MEDIUM,,,,2,6
1769249446.9225032,MEDIUM,,,,2,6
1769249447.9268878,MEDIUM,,,,2,6
1769249448.9284337,MEDIUM,,,,2,6
1769249449.930761,MEDIUM,,,,2,6
1769249450.9560466,MEDIUM,,,,2,6
1769249451.9603603,MEDIUM,,,,2,6
1769249452.985459,MEDIUM,,,,2,6
1769249454.0103707,MEDIUM,,,,2,6
1769249455.0116868,MEDIUM,,,,2,6
1769249456.0145078,MEDIUM,,,,2,6
1769249457.0166793,MEDIUM,,,,2,6
1769249458.0209558,MEDIUM,,,,2,6
1769249459.0459707,MEDIUM,,,,2,6
1769249460.0670543,MEDIUM,,,,2,6
1769249461.0681095,MEDIUM,,,,2,6
1769249462.0697644,MEDIUM,,,,2,6
1769249463.0944483,MEDIUM,,,,2,6
1769249464.1182907,MEDIUM,,,,2,6
1769249465.1201231,MEDIUM,,,,2,6
1769249466.143372,MEDIUM,,,,2,6
1769249467.1478286,MEDIUM,,,,2,6
1769249468.1510205,MEDIUM,,,,2,6
1769249469.170499,MEDIUM,,,,2,6
1769249470.1948872,MEDIUM,,,,2,6
1769249471.2025042,MEDIUM,,,,2,6
1769251215.2834144,MEDIUM,,,,2,6
1769251216.3061779,MEDIUM,,,,2,6
1769251217.3206027,MEDIUM,,,,2,6
1769251218.3378751,MEDIUM,,,,2,6
1769251219.3572578,MEDIUM,,,,2,6
1769251220.3776743,MEDIUM,,,,2,6
1769251221.399685,MEDIUM,,,,2,6
1769251222.4216747,MEDIUM,,,,2,6
1769251223.427014,MEDIUM,,,,2,6
1769251224.4346356,MEDIUM,,,,2,6
1769251225.44061,MEDIUM,,,,2,6
1769251226.4420917,MEDIUM,,,,2,6
1769251227.442206,MEDIUM,,,,2,6
1769251228.4456701,MEDIUM,,,,2,6
1769251229.4712315,MEDIUM,,,,2,6
1769251230.47376,MEDIUM,,,,2,6
1769251231.4793324,MEDIUM,,,,2,6
1769251232.481464,MEDIUM,,,,1,6
1769251233.4850154,MEDIUM,,,,2,6
1769251234.4878306,MEDIUM,,,,2,6
1769251235.4932904,MEDIUM,,,,2,6
1769251236.4950576,MEDIUM,,,,2,6
1769251237.5193858,MEDIUM,,,,2,6
1769251238.5214682,MEDIUM,,,,2,6
1769251239.5437002,MEDIUM,,,,2,6
1769251240.544534,MEDIUM,,,,2,6
1769251241.5452864,MEDIUM,,,,2,6
1769251242.548686,MEDIUM,,,,2,6
1769251243.5536199,MEDIUM,,,,2,6
1769251244.5619688,MEDIUM,,,,2,6
1769251245.563364,MEDIUM,,,,2,6
